id;name;source;metadata;remarks
1;SDR;CRM;hardware Licensed Concrete Chicken;payment mobile
2;Bike;CRM;Baby;Auto Loan Account redefine
3;Internal Sleek Generic;APTHAMITRA;Comoro Franc indexing back-end;transmitter Savings Account
4;Realigned;CRM;Gateway Generic Steel Chair Towels;time-frame Gorgeous Metal Pizza Developer
5;Multi-layered;APTHAMITRA;connecting Isle of Man;Books
6;executive morph Avon;APTHAMITRA;Future Intelligent encryption;National calculate Handcrafted Soft Gloves
7;Electronics Associate Specialist;APTHAMITRA;multi-byte deliver e-markets;robust 1080p multi-byte
8;FTP;CRM;deploy bluetooth Balboa US Dollar;interface Shoes Integration
9;utilisation;CRM;Taiwan;invoice
10;Interactions Central Rustic Fresh Chicken;CRM;channels Fresh;web-readiness withdrawal parse
