id;item;item_description;task_type;priority;quantity
1;technologies application Tennessee;Identity;OUT;77421;48063
2;payment;Bedfordshire;OUT;655;66
3;open-source Pants yellow;Granite;OUT;2745;86430
4;target;XSS copying;IN;42784;39214
5;3rd generation;Designer Rustic Plastic Chair;IN;16954;32316
6;quantifying Metical;enhance Gambia;IN;80028;81561
7;Generic Rubber Computer;Wooden Borders;OUT;75084;22586
8;Paradigm models;Wooden;IN;9681;89317
9;Coordinator deposit Future;ivory;OUT;51223;14804
10;Borders;Integration Unbranded;IN;87968;36002
