id;file_id;file_name;status;message;records;metadata
1;5325;Rwanda Franc Money Market Account North Dakota;SUCCESS;Personal Loan Account Sports;62958;Intelligent Plastic Pizza Generic
2;4180;neural Philippines North Carolina;FAILURE;Convertible Marks tan;16179;generate Forward Indian Rupee
3;96389;Credit Card Account;FAILURE;Tactics;44515;TCP
4;34044;Chair redundant index;FAILURE;Computer Concrete;86065;synthesize SCSI middleware
5;89453;payment;SUCCESS;vortals turquoise experiences;31999;Interactions Moldovan Leu
6;58036;Savings Account;FAILURE;clicks-and-mortar Mouse;5659;Buckinghamshire open-source
7;1001;Facilitator TCP olive;FAILURE;e-services PNG;57497;azure quantify
8;66941;circuit UIC-Franc;FAILURE;Ergonomic Car;67115;Fully-configurable
9;14121;Wall killer payment;SUCCESS;Berkshire indigo;21784;Branding Movies e-business
10;99235;Developer;FAILURE;e-business;6997;Zloty Manager
