id;name;code;description;status;radius;metadata
1;connecting;interactive green;Cambridgeshire South Carolina National;ACTIVE;39397;Clothing Brand Avon
2;communities microchip;silver;Cotton dynamic;ACTIVE;31546;Slovenia haptic
3;navigating Fort Dynamic;Djibouti;mobile;INACTIVE;30579;Cotton
4;payment Armenian Dram;Assurance Sleek IB;ADP;INACTIVE;95590;Fantastic index circuit
5;Mouse networks;Paradigm;Internal Central;INACTIVE;866;Chicken calculate compressing
6;scale fuchsia overriding;Street Ergonomic;application;ACTIVE;50367;Liaison Frozen
7;Reactive;Tasty Cotton Hat;Oklahoma;INACTIVE;83164;wireless Automotive Awesome
8;protocol;tangible;Savings Account;ACTIVE;9845;Solomon Islands Dollar
9;orchid;5th generation PNG;Legacy;INACTIVE;84124;policy Wall
10;Team-oriented dynamic Bedfordshire;indexing;middleware array;ACTIVE;20081;Madagascar
